epoch,loss,sec
1,1.4287249673690114,2.6353986263275146
2,0.6483893268874713,5.320486068725586
3,0.4680158245776381,7.909038305282593
4,0.3259756694237391,10.51499342918396
5,0.37058407667846904,13.244631290435791
6,0.3171992307617551,15.708217859268188
7,0.6838608679317293,18.361491918563843
8,0.4453121971516382,21.1694233417511
9,0.4501926488464787,23.937712907791138
10,0.413584586729606,26.665688276290894
11,0.3574943484472377,29.351190090179443
12,0.2494576722560894,31.95444393157959
13,0.43205859898811294,34.5017352104187
14,0.2607648170774891,36.98291063308716
15,0.38313739106413863,39.631563901901245
16,0.3346776782224576,42.12272262573242
17,0.3782163591434558,44.755003452301025
18,0.323438756292065,47.36217021942139
19,0.31341487763538245,50.05532431602478
20,0.4078841991545189,52.633368253707886
21,0.295049679226109,54.8970263004303
22,0.3108832804752248,55.864140033721924
23,0.39009847231209277,56.87373495101929
24,0.44053269229119735,57.83389902114868
25,0.31465201360129175,58.770970582962036
26,0.25718368990790275,59.71437215805054
27,0.5845833881092923,60.66404938697815
28,0.40528050636251767,61.60556888580322
29,0.2760663190590484,62.54008960723877
30,0.32884545324458964,63.47456336021423
31,0.3581254958574261,64.418461561203
32,0.35206975007341024,65.36420941352844
33,0.3107193961916935,66.31536626815796
34,0.31323488489502954,67.27449369430542
35,0.26311279505136465,68.2182104587555
36,0.3772327245878322,69.1587553024292
37,2.8245207556124243,70.09492754936218
38,0.33605204068479083,71.02619504928589
39,0.360978688636706,71.97497653961182
40,0.24645538023185162,72.91737675666809
41,0.39821835103489106,73.85936307907104
42,0.3881617870713983,74.8003032207489
43,0.3655403083456414,75.7391004562378
44,0.27687667347490785,76.70373940467834
45,0.22285525768640496,77.65441966056824
46,0.2778081801320825,78.62264776229858
47,0.30524085336143064,79.57268166542053
48,0.26038073842369375,80.53597903251648
49,0.31898027601696194,81.48737740516663
50,0.34262849033943243,82.44377756118774
51,0.40098694151356107,86.19384741783142
52,0.3768429609459071,87.14450240135193
53,0.28431865074450063,88.10024118423462
54,0.2321672480375994,89.02151727676392
55,0.32320795967465354,89.94281196594238
56,0.3475853869070609,90.86412048339844
57,0.2796060619432302,91.77699661254883
58,0.31372995983277047,92.68629956245422
59,0.3716890976187729,93.58975410461426
60,0.36035447141953875,94.50115275382996
61,0.32762781209534125,95.40330648422241
62,0.3182043783544075,96.3134377002716
63,0.22803902301405157,97.21372032165527
64,4.894498791244058,98.12376308441162
65,0.3673288169716086,99.03063344955444
66,0.3979231687706141,99.94150042533875
67,0.30368200324120975,100.84995913505554
68,0.3358048101266225,101.76214861869812
69,0.3104299710797412,102.68241095542908
70,0.3748598526631083,103.60800218582153
71,0.35666510434377763,104.52683973312378
72,0.24690397340981735,105.44104409217834
73,0.2583272120427518,106.34806537628174
74,0.3700206711888313,107.26320099830627
