subject_id,ok,error,FA_MAE,FA_RMSE,FA_r,MD_MAE,MD_RMSE,MD_r,AD_MAE,AD_RMSE,AD_r,RD_MAE,RD_RMSE,RD_r,DWI_MAE,DWI_RelMSE,final_loss,best_loss,best_epoch,training_time_sec,n_voxels,epochs
101309,True,,0.21315494197275936,0.283546370300533,0.10669071028292375,0.00018100435887079475,0.0003365459315090308,0.5176452164678023,0.0003181000934072773,0.0005107521449547856,0.3359249399209516,0.00020768895883866993,0.0003244053757827099,0.5576626888522195,395.9730269528381,0.06051645595308524,0.1004934194592797,0.1004934194592797,200,183.02041697502136,799510,200
102715,True,,0.18777565054557727,0.25766972659305554,0.08969621918955795,0.00024984222137195973,0.000450417668627301,0.5730665041803078,0.00037037057727182346,0.0005625810381197588,0.47948588002457054,0.00027979955340660066,0.00044710443194417745,0.5773001062570926,448.01801812247345,0.09821883181774524,0.38535006170201563,0.38535006170201563,200,220.87903761863708,940977,200
103515,True,,0.1426926323456287,0.20342170834279583,0.5399305090050317,0.0001623147719452519,0.00028925489924127613,0.8221264971845428,0.00023439252855132943,0.00035681433255646604,0.7846088136902798,0.00018741644509649358,0.0002954747724434074,0.8213105118118443,310.4774783812124,0.04622599802291497,0.13520539793201158,0.13520539793201158,200,173.39161157608032,748489,200
104416,True,,0.15354406549134625,0.21440937221141482,0.4139414393252404,0.0002024054894557934,0.00036656778155139005,0.7102386344817828,0.00029158057547747795,0.00044868604384441405,0.6650868062612116,0.00022596905397356278,0.00036602660545538107,0.7131625374624437,346.27290588283574,0.06860707195413386,0.9673928057005547,0.9673928057005547,200,176.30069088935852,750597,200
106319,True,,0.15147308044087127,0.21565713138295575,0.40551479738510915,0.000210948947179074,0.00037280071147474696,0.7423291014947876,0.0002949323949545527,0.0004439133559515822,0.7035807599445336,0.00023415731384332904,0.000374704515809143,0.7426678114661314,364.94605362616664,0.06999836939540967,0.8659513057161545,0.8659513057161545,200,180.1183681488037,793174,200
107321,True,,0.1535245539761077,0.21581292842832264,0.39927675020869585,0.00018339192528250253,0.00033724709703951297,0.7059492944594996,0.00027537327887583484,0.0004240786407911144,0.6493391948323031,0.00020629693974941478,0.00033689547551766445,0.7112632603888314,357.3093394685715,0.052875687632863856,0.38015889478581294,0.38015889478581294,200,165.97472524642944,716567,200
107422,True,,0.1469639265565172,0.20861818347604774,0.4121859652694049,0.00019376619549948796,0.0003493914434257477,0.7716201878919663,0.00027447718417063357,0.0004238611083701018,0.7277116168542092,0.00021779536975807584,0.00035205006797889716,0.7716740521911546,408.1895921156785,0.061549334665475,0.20751732827580355,0.20751732827580355,200,176.1542227268219,768674,200
107725,True,,0.16287625784677734,0.22356334857313184,0.3862514857427786,0.0001491695925269724,0.0002755970313512439,0.7032214986963268,0.0002480594610277061,0.00040432350390179355,0.5747787448651219,0.00017541198789704845,0.0002795405414160606,0.7057387658874691,317.47515738258465,0.04861603300096638,0.1211499092877721,0.1211499092877721,200,176.47446823120117,751406,200
108525,True,,0.16070118505445194,0.22524007210986197,0.33944223628837644,0.00021055311605825859,0.00039092433589638787,0.6355237604779622,0.000307541447962525,0.0004760152424591558,0.5863606941502566,0.00022738779922578786,0.00038682848515439304,0.6405846203237989,377.3753709451467,0.07065588326636925,1.2399510591429599,1.2399510591429599,200,178.1706519126892,767701,200
109830,True,,0.13739360921541866,0.1924705418302316,0.5176602373140665,0.0001574534761563131,0.0002890408813635746,0.7735359970568848,0.0002353678332208336,0.00035725158524501765,0.7298407244891174,0.00017949643778922633,0.0002928463055573768,0.7758408632530542,304.4274057737548,0.04392635319592504,0.3674059332979302,0.3674059332979302,200,146.06733083724976,633273,200
