subject_id,ok,error,FA_MAE,FA_RMSE,FA_r,MD_MAE,MD_RMSE,MD_r,AD_MAE,AD_RMSE,AD_r,RD_MAE,RD_RMSE,RD_r,DWI_MAE,DWI_RelMSE,n_eval_voxels,n_sampled_voxels,evaluation_mask,final_loss,best_loss,best_epoch,training_time_sec,n_voxels,epochs
101309,True,,0.4502444559854806,0.48364523837115947,0.12596101792168302,0.0003144545243152091,0.00044134248462616955,0.4671143340145338,0.0003027724326102069,0.0004808331598061942,0.3875108477261484,0.0003535382918641224,0.00048132090814304436,0.47519189443685683,579.7704069625464,0.11635098827567844,799510.0,131072.0,brain & WLS_valid,0.08741717278121078,0.06905804673323826,188,217.1608510017395,799510,200
102715,True,,0.17791564317027941,0.24559203724790601,0.14818079495161193,0.00023425265337666905,0.0004188923405844353,0.6485599910304277,0.0003502879519066244,0.000546369828807963,0.5198493877000371,0.00026185364194104545,0.0004173082365809108,0.6512290748479265,427.8177484614956,0.08686802859594084,940977.0,131072.0,brain & WLS_valid,0.4376994414983884,0.19907255320121411,194,319.9279839992523,940977,200
103515,True,,0.15802140207983567,0.2252004818215908,0.38874842868547343,0.00018446333907621784,0.00032670568616236314,0.7689452478281825,0.0002678862784699411,0.0004034385093401317,0.7263522159592961,0.0002152321027200304,0.0003343418714630287,0.7639389222775278,340.69548338544485,0.05776182289925246,748489.0,131072.0,brain & WLS_valid,0.24579032621463465,0.16824759891042945,137,226.6998519897461,748489,200
104416,True,,0.15974303024100545,0.22209682320121882,0.36879823491857266,0.00021835952613332435,0.0004019387403499673,0.6492341543755058,0.00031626246495855326,0.000487547204960961,0.6072468361780095,0.0002390327221971797,0.00039893290782763794,0.6512005281120409,361.3726312658541,0.07982357044735311,750597.0,131072.0,brain & WLS_valid,1.2008709353496037,0.8288465083435016,150,212.50750541687012,750597,200
106319,True,,0.19811005318602914,0.2703558384624859,0.0987323056497135,0.000328614932762481,0.0005775188588952755,0.24641381367192616,0.0004459105002909708,0.0006713656785644964,0.24542900076646065,0.00035712941181018115,0.0005663682761613994,0.2409336511836816,536.0629605040884,0.18630358394625346,793174.0,131072.0,brain & WLS_valid,0.536773772391769,0.36802544846132246,15,220.59267020225525,793174,200
107321,True,,0.175573840304815,0.24412277218348388,0.19512479509889422,0.00022236545981682457,0.0004095965388794044,0.5326066925459784,0.0003323383701363048,0.0005072612288751809,0.48393749292772437,0.0002488719799082248,0.000406263050369888,0.5335773956916364,423.1401914222145,0.08005597571331108,716567.0,131072.0,brain & WLS_valid,0.68418945061309,0.5258715316546815,73,194.2473542690277,716567,200
107422,True,,0.14485989417877987,0.20641134781128906,0.46045448498045205,0.00019669525428433479,0.000352825259770909,0.7730304172534465,0.00028333208977336183,0.00043046572945370793,0.7312716460089538,0.00021391862000957356,0.0003517212072336825,0.7744523064844347,410.6651958979303,0.06250773881860279,768674.0,131072.0,brain & WLS_valid,0.2896585602987003,0.14457769022184483,166,215.0097234249115,768674,200
107725,True,,0.17344900925039805,0.23586222490170677,0.34245336699142986,0.0001629153866725681,0.00030586809865457875,0.6239376485388755,0.00027101012791713394,0.0004464113858422289,0.47435347207240147,0.0001883362975735628,0.000303905679075454,0.6378976298534438,333.8283550423868,0.055560921623414236,751406.0,131072.0,brain & WLS_valid,0.2013924860638445,0.10744594413098758,140,212.66767692565918,751406,200
108525,True,,0.16367149173786105,0.22560658746616727,0.3245466582517615,0.0002239334887928657,0.0004158096416262634,0.5674978197794549,0.00031924920462928007,0.0004968909225324245,0.5262134441162898,0.00024703018312784424,0.0004133629350373523,0.5704621543703803,398.57583965979256,0.08259473627050772,767701.0,131072.0,brain & WLS_valid,1.5823597255004371,1.332439208264522,155,187.3057041168213,767701,200
109830,True,,0.1530482343366807,0.21117920066614768,0.4280540069200837,0.00018319932637792945,0.00034306900046086934,0.6704202365056142,0.00027422723630744165,0.0004219537022473988,0.6203829567718051,0.0002064450186454336,0.0003425440435206738,0.67566220303136,336.9315058080304,0.05790097056472633,633273.0,131072.0,brain & WLS_valid,0.9854539079892058,0.29924165116202445,88,119.02865934371948,633273,200
