metric,mean,std,n,mean_pm_std
final_loss,0.5812903589774256,0.6064413643962504,29,0.58129 ± 0.606441
FA_mae_vs_wls,0.18884131944904925,0.10000040786500856,29,0.188841 ± 0.1
MD_mae_vs_wls,0.0003630248428542996,0.0005382923768651016,29,0.000363025 ± 0.000538292
AD_mae_vs_wls,0.0005719554690299169,0.0009206776846818721,29,0.000571955 ± 0.000920678
RD_mae_vs_wls,0.0003238925875531976,0.0003433055674567412,29,0.000323893 ± 0.000343306
dwi_relative_mse,0.4184926690469528,0.3738423443295247,29,0.418493 ± 0.373842
dwi_mse,468254.515625,215489.6705689477,29,468255 ± 215490
