subject_id,sampling_level,sampling_fraction,n_dwi_volumes,Independent_DWI_RelMSE,Shared_DWI_RelMSE,DWI_delta,Independent_FA_MAE,Shared_FA_MAE,FA_delta,Independent_MD_MAE,Shared_MD_MAE,MD_delta,Independent_AD_MAE,Shared_AD_MAE,AD_delta,Independent_RD_MAE,Shared_RD_MAE,RD_delta,Shared_better_DWI,Shared_better_FA
101309,100%,1.0,108,0.06363655410688618,0.08361301726853011,0.019976463161643934,0.22433722247449658,0.2170033491614313,-0.007333873313065287,0.00018589137015632214,0.0002092214801386719,2.333010998234976e-05,0.00031162476770741813,0.0003045891419195095,-7.035625787908651e-06,0.0002273972246904622,0.0002484755143666372,2.1078289676174978e-05,0,1
102715,100%,1.0,108,0.1038397723665572,0.15347583009271915,0.04963605772616195,0.19101062505105856,0.19092386543479414,-8.675961626442019e-05,0.0002552690296091144,0.0003014093801404449,4.6140350531330486e-05,0.00037736097158054966,0.00042219693602132464,4.483596444077498e-05,0.00028844809109835966,0.0003208521909315127,3.240409983315301e-05,0,1
103515,100%,1.0,108,0.04938829290066892,0.1214520639615684,0.07206377106089948,0.14568398435758964,0.19686840518528953,0.05118442082769989,0.0001688084951237808,0.0002657697386846094,9.696124356082863e-05,0.00025607791399245215,0.00036684451491629267,0.00011076660092384052,0.00018679140209944687,0.0003012606261854595,0.00011446922408601265,0,0
104416,100%,1.0,108,0.06526258517860113,0.15640638711650157,0.09114380193790043,0.15182123027419778,0.18931011202898573,0.037488881754787956,0.00019890531878610982,0.00030022879443392255,0.00010132347564781273,0.00028897815220945956,0.0004132240064846863,0.00012424585427522672,0.0002205078420965854,0.00032147333349672363,0.00010096549140013822,0,0
106319,100%,1.0,108,0.09114301920037123,0.14766469164114543,0.056521672440774204,0.15825766832674007,0.18782433414142272,0.029566665814682647,0.0002371211133782888,0.00031234266741027896,7.522155403199017e-05,0.00032222432186180226,0.00041368528385235217,9.14609619905499e-05,0.00026337952862074283,0.0003394117924154085,7.603226379466566e-05,0,0
107321,100%,1.0,108,0.06989182603100229,0.12476806468100232,0.054876238650000034,0.16509249973058762,0.1909808372501496,0.025888337519561988,0.00020408121871477752,0.00025798280986823934,5.390159115346182e-05,0.00030229297736539045,0.000376562869826602,7.426989246121156e-05,0.00023126776134042875,0.0002814398945128797,5.017213317245095e-05,0,0
107422,100%,1.0,108,0.05765934920929625,0.15940674263549295,0.10174739342619671,0.14815864915759436,0.19138395443122738,0.043225305273633025,0.0001924170277300001,0.00030062442327871344,0.00010820739554871333,0.0002803722089256557,0.0003996330469156184,0.00011926083798996268,0.0002130556232865715,0.0003324008453857827,0.0001193452220992112,0,0
107725,100%,1.0,108,0.05532313341239387,0.09268017587729586,0.03735704246490199,0.1790242133326481,0.20499646125605175,0.025972247923403663,0.0001584263026127776,0.00020246720305541367,4.404090044263608e-05,0.00026714387379214033,0.0003094398180550546,4.229594426291425e-05,0.00018839811040453135,0.00023887847719009485,5.04803667855635e-05,0,0
108525,100%,1.0,108,0.07604783896836155,0.14641511493824363,0.07036727596988208,0.1627810800834709,0.19363776847983702,0.030856688396366128,0.00021608958082398918,0.0002774607993611119,6.137121853712273e-05,0.00031199429321515686,0.00038770940074986425,7.571510753470739e-05,0.00023775230903174817,0.0003016543453196302,6.390203628788203e-05,0,0
109830,100%,1.0,108,0.054899590832692025,0.104610207063951,0.04971061623125897,0.15084257032566448,0.18376832041389426,0.03292575008822979,0.00017699261044123673,0.0002402541776452191,6.326156720398238e-05,0.00026205952014617627,0.0003418976307982726,7.983811065209631e-05,0.00020489421438569516,0.0002691902722110329,6.429605782533773e-05,0,0
110613,100%,1.0,108,0.07509671139821604,0.19092433887771673,0.11582762747950069,0.15530584133380432,0.18838889664716782,0.0330830553133635,0.00022839160046094685,0.000315308630031744,8.691702957079714e-05,0.00031853777097024183,0.00042251314334793786,0.00010397537237769603,0.0002460638784925046,0.00033438317212299836,8.831929363049379e-05,0,0
111211,100%,1.0,108,0.05857203016550099,0.13284179907115065,0.07426976890564965,0.15718578860609284,0.18719030130638417,0.030004512700291336,0.0001939814222148051,0.00027252601199021924,7.854458977541413e-05,0.0002738336763895222,0.0003798135586972906,0.00010597988230776837,0.00022223693611264793,0.00029732659638499254,7.508966027234461e-05,0,0
112920,100%,1.0,108,0.1815596646966034,0.1205598385831955,-0.0609998261134079,0.4621490323221411,0.19876304149936191,-0.2633859908227792,0.00041939283263422035,0.00024371098768421345,-0.0001756818449500069,0.0003701416370692869,0.00035338356682363455,-1.6758070245652358e-05,0.00045958237539015304,0.00027321883325288226,-0.00018636354213727078,1,1
114116,100%,1.0,108,0.08685330846506864,0.14797440904758466,0.06112110058251602,0.1662153993872328,0.1913781308160809,0.025162731428848117,0.00022328457969111764,0.0002815074412612543,5.822286157013663e-05,0.0003137861475507752,0.0003813259217192577,6.75397741684825e-05,0.0002506295983412947,0.0003067100442047752,5.608044586348054e-05,0,0
114419,100%,1.0,108,0.10665896651757764,0.1275460762047693,0.02088710968719165,0.19793465680708153,0.21900002355468387,0.021065366747602343,0.00020810854698424257,0.00023231874184385492,2.4210194859612346e-05,0.00032095001989848804,0.00032214526696515433,1.195247066666284e-06,0.00024940598491814646,0.0002830311248497419,3.362513993159546e-05,0,0
115825,100%,1.0,108,0.07023208148424892,0.16302266543648056,0.09279058395223164,0.15877272239914922,0.19651501075193356,0.03774228835278434,0.00020791895947167797,0.00028507683294345487,7.71578734717769e-05,0.00030224561770933987,0.0003903480757827802,8.810245807344035e-05,0.00023242563035950672,0.000318655811697032,8.623018133752528e-05,0,0
116726,100%,1.0,108,0.08470241335363556,0.1918038593258297,0.10710144597219413,0.14803828393381396,0.17380663516330347,0.025768351229489506,0.0002538296675757753,0.000372603946345536,0.00011877427876976068,0.0003421900535316487,0.00047600948730161524,0.00013381943376996653,0.00027074354554580704,0.0003895198894778161,0.00011877634393200908,0,0
120717,100%,1.0,108,0.055557580042598115,0.13160004477518747,0.07604246473258935,0.14970284583126417,0.18709802938178666,0.03739518355052249,0.00019098366920738087,0.00029678449390553347,0.00010580082469815259,0.00027329005640254163,0.00040998409687846305,0.00013669404047592142,0.00021829467109755012,0.00032129340288106293,0.0001029987317835128,0,0
121618,100%,1.0,108,0.07734981866983211,0.1493612319797546,0.07201141330992249,0.16387361287454213,0.1959422037238376,0.032068590849295475,0.00021868529453712316,0.00029214712764004386,7.34618331029207e-05,0.00030860414472561065,0.000387914199539685,7.931005481407437e-05,0.00024309657185344474,0.0003212037779654586,7.810720611201385e-05,0,0
122418,100%,1.0,108,0.047243658191718184,0.08981018791492434,0.04256652972320616,0.15947083622949945,0.19488818822484333,0.035417351995343876,0.00016247755175687794,0.00023062257382307992,6.814502206620198e-05,0.000263771675356144,0.00035434857336849796,9.057689801235397e-05,0.00018861952086242232,0.0002586863128907219,7.006679202829958e-05,0,0
123925,100%,1.0,108,0.06262567750423824,0.1172200550537778,0.054594377549539566,0.14713940835661712,0.1982698658091561,0.05113045745253897,0.00018451638316008487,0.0002596835863179701,7.516720315788524e-05,0.0002713410107481973,0.0003601270874769378,8.878607672874054e-05,0.00020385420874304846,0.00029454172395841627,9.068751521536781e-05,0,0
124422,100%,1.0,108,0.18772246487011676,0.17267079282196882,-0.015051672048147946,0.46544578107726553,0.19816605638316034,-0.2672797246941052,0.00042537816036781063,0.0003164471588761811,-0.00010893100149162951,0.000367785841707212,0.0004095613417166091,4.1775500009397085e-05,0.0004806726773295365,0.0003535576789333884,-0.0001271149983961481,1,1
124624,100%,1.0,108,0.10270597487852988,0.1513303434888368,0.04862436861030693,0.18029895633646587,0.1871335020441001,0.006834545707634226,0.00026235984151109126,0.0002981335870980377,3.5773745586946415e-05,0.0003673478423469763,0.00039203180181401366,2.468395946703735e-05,0.0002910623797860374,0.0003290493936887985,3.798701390276112e-05,0,0
129937,100%,1.0,108,0.06757493895666357,0.15204478170018787,0.0844698427435243,0.14812494061919504,0.19490798692865813,0.04678304630946309,0.00022158330232432806,0.0003235002657997516,0.00010191696347542357,0.0003083628534357876,0.00042904314164238304,0.00012068028820659543,0.00023746383067416266,0.00035111413253100296,0.0001136503018568403,0,0
130316,100%,1.0,108,0.07049896648198926,0.12735778892182317,0.05685882243983391,0.162874221643844,0.19086195193370248,0.027987730289858487,0.00020208542571229285,0.00026323625175236,6.115082604006713e-05,0.0002984790297605136,0.00037407970197400007,7.560067221348647e-05,0.0002237893170897697,0.0002882292397792208,6.443992268945111e-05,0,0
130518,100%,1.0,108,0.07820061501539897,0.1252982417164812,0.04709762670108224,0.15643790889404952,0.1956750975738196,0.03923718867977008,0.00021942784451030745,0.0002748453541334409,5.541750962313345e-05,0.00029957582947996936,0.0003869657217291148,8.738989224914544e-05,0.00024362704770032592,0.00030220797248150865,5.858092478118273e-05,0,0
130720,100%,1.0,108,0.1240672582228419,0.15484627627732306,0.03077901805448116,0.48845758433240194,0.18518439818984256,-0.3032731861425594,0.0022444731319770884,0.0003061201628387456,-0.0019383529691383429,0.004075872438183014,0.0004138338243190096,-0.003662038613864004,0.0013739468345253625,0.0003316675921761918,-0.0010422792423491706,0,1
130922,100%,1.0,108,0.05486311255277734,0.11937402308411403,0.06451091053133669,0.14907528064512537,0.20145790552557585,0.05238262488045048,0.0001812694451077623,0.00027674691857200803,9.547747346424574e-05,0.0002602794610651355,0.00038731718856061404,0.00012703772749547856,0.00020685184200528332,0.00031085174831784455,0.00010399990631256123,0,0
131217,100%,1.0,108,0.07823788184117414,0.16980768989704373,0.09156980805586959,0.1754877343258176,0.18737564068555995,0.01188790635974235,0.00021999974833246334,0.0002988769897209681,7.887724138850476e-05,0.00032953502020730403,0.000390082968401335,6.0547948194030984e-05,0.00024778718118847207,0.0003310179123537512,8.323073116527915e-05,0,0
101309,50%,0.5,54,0.99999856779504,0.9999985677341963,-6.084377446313738e-11,0.16406360395505104,0.16236079658076058,-0.0017028073742904604,0.05078330294020762,0.05071309293646821,-7.021000373941266e-05,0.06175406827534421,0.061277685249663455,-0.000476383025680753,0.04529792027525306,0.0454307967802897,0.0001328765050366415,1,1
