metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.16236079658076058,0.0,0.16236079658076058,0.16236079658076058,0.16236079658076058,1,0.162361 ± 0
FA_RMSE,0.1968759041033969,0.0,0.1968759041033969,0.1968759041033969,0.1968759041033969,1,0.196876 ± 0
FA_r,-0.02147789824538312,0.0,-0.02147789824538312,-0.02147789824538312,-0.02147789824538312,1,-0.0214779 ± 0
MD_MAE,0.05071309293646821,0.0,0.05071309293646821,0.05071309293646821,0.05071309293646821,1,0.0507131 ± 0
MD_RMSE,0.05071486628801097,0.0,0.05071486628801097,0.05071486628801097,0.05071486628801097,1,0.0507149 ± 0
MD_r,0.029924441116432113,0.0,0.029924441116432113,0.029924441116432113,0.029924441116432113,1,0.0299244 ± 0
AD_MAE,0.061277685249663455,0.0,0.061277685249663455,0.061277685249663455,0.061277685249663455,1,0.0612777 ± 0
AD_RMSE,0.061279186398316525,0.0,0.061279186398316525,0.061279186398316525,0.061279186398316525,1,0.0612792 ± 0
AD_r,-0.024891107619258376,0.0,-0.024891107619258376,-0.024891107619258376,-0.024891107619258376,1,-0.0248911 ± 0
RD_MAE,0.0454307967802897,0.0,0.0454307967802897,0.0454307967802897,0.0454307967802897,1,0.0454308 ± 0
RD_RMSE,0.04543347844839782,0.0,0.04543347844839782,0.04543347844839782,0.04543347844839782,1,0.0454335 ± 0
RD_r,0.03073657336740347,0.0,0.03073657336740347,0.03073657336740347,0.03073657336740347,1,0.0307366 ± 0
DWI_MAE,2097.293046272497,0.0,2097.293046272497,2097.293046272497,2097.293046272497,1,2097.29 ± 0
DWI_RelMSE,0.9999985677341963,0.0,0.9999985677341963,0.9999985677341963,0.9999985677341963,1,0.999999 ± 0
final_loss,0.5520794858433762,0.0,0.5520794858433762,0.5520794858433762,0.5520794858433762,1,0.552079 ± 0
best_loss,0.5520794858433762,0.0,0.5520794858433762,0.5520794858433762,0.5520794858433762,1,0.552079 ± 0
training_time_sec,3.1559574604034424,0.0,3.1559574604034424,3.1559574604034424,3.1559574604034424,1,3.15596 ± 0
